type,oc_year,oc_data,oc_county,oc_region
住宅竊盜,111,0101,南投縣,草屯鎮
住宅竊盜,111,0101,彰化縣,芳苑鄉
住宅竊盜,111,0101,新北市,中和區
住宅竊盜,111,0101,彰化縣,和美鎮
住宅竊盜,111,0101,南投縣,草屯鎮
住宅竊盜,111,0101,基隆市,安樂區
住宅竊盜,111,0102,臺北市,松山區
住宅竊盜,111,0102,臺北市,萬華區
住宅竊盜,111,0102,新北市,板橋區
住宅竊盜,111,0102,臺北市,文山區
住宅竊盜,111,0102,雲林縣,四湖鄉
住宅竊盜,111,0103,雲林縣,斗六市
住宅竊盜,111,0105,澎湖縣,西嶼鄉
住宅竊盜,111,0105,臺南市,左鎮區
住宅竊盜,111,0105,新北市,新莊區
住宅竊盜,111,0106,新北市,樹林區
住宅竊盜,111,0106,臺北市,萬華區
住宅竊盜,111,0107,新北市,土城區
住宅竊盜,111,0107,金門縣,金城鎮
住宅竊盜,111,0107,嘉義縣,朴子市
住宅竊盜,111,0107,臺南市,安南區
住宅竊盜,111,0107,南投縣,南投市
住宅竊盜,111,0107,臺南市,安南區
住宅竊盜,111,0108,桃園市,中壢區
住宅竊盜,111,0108,新北市,三重區
住宅竊盜,111,0108,新北市,蘆洲區
住宅竊盜,111,0108,基隆市,暖暖區
住宅竊盜,111,0108,基隆市,信義區
住宅竊盜,111,0109,新竹市,東區
住宅竊盜,111,0109,桃園市,蘆竹區
住宅竊盜,111,0109,臺中市,西屯區
住宅竊盜,111,0109,新北市,三重區
住宅竊盜,111,0109,臺南市,歸仁區
住宅竊盜,111,0109,新北市,新店區
住宅竊盜,111,0110,臺南市,東山區
住宅竊盜,111,0110,彰化縣,芬園鄉
住宅竊盜,111,0110,彰化縣,芬園鄉
住宅竊盜,111,0110,新北市,三重區
住宅竊盜,111,0110,臺中市,霧峰區
住宅竊盜,111,0110,苗栗縣,後龍鎮
住宅竊盜,111,0110,新北市,中和區
住宅竊盜,111,0111,南投縣,竹山鎮
住宅竊盜,111,0111,南投縣,集集鎮
住宅竊盜,111,0111,基隆市,中山區
住宅竊盜,111,0112,彰化縣,田尾鄉
住宅竊盜,111,0112,臺北市,萬華區
住宅竊盜,111,0112,臺南市,安南區
住宅竊盜,111,0113,桃園市,大園區
住宅竊盜,111,0113,花蓮縣,吉安鄉
住宅竊盜,111,0113,彰化縣,北斗鎮
住宅竊盜,111,0114,新北市,永和區
住宅竊盜,111,0114,南投縣,南投市
住宅竊盜,111,0114,嘉義市,西區
住宅竊盜,111,0115,新北市,新莊區
住宅竊盜,111,0115,苗栗縣,苗栗市
住宅竊盜,111,0115,臺南市,官田區
住宅竊盜,111,0116,苗栗縣,苗栗市
住宅竊盜,111,0116,澎湖縣,白沙鄉
住宅竊盜,111,0117,花蓮縣,鳳林鎮
住宅竊盜,111,0117,花蓮縣,瑞穗鄉
住宅竊盜,111,0118,雲林縣,斗六市
住宅竊盜,111,0118,臺南市,南區
住宅竊盜,111,0118,臺北市,信義區
住宅竊盜,111,0118,臺北市,大安區
住宅竊盜,111,0120,南投縣,草屯鎮
住宅竊盜,111,0120,南投縣,草屯鎮
住宅竊盜,111,0120,新北市,新莊區
住宅竊盜,111,0121,臺北市,士林區
住宅竊盜,111,0121,新北市,中和區
住宅竊盜,111,0121,新北市,汐止區
住宅竊盜,111,0121,新北市,三重區
住宅竊盜,111,0122,新北市,樹林區
住宅竊盜,111,0122,臺北市,中山區
住宅竊盜,111,0122,臺北市,松山區
住宅竊盜,111,0122,南投縣,草屯鎮
住宅竊盜,111,0123,新北市,中和區
住宅竊盜,111,0123,臺北市,文山區
住宅竊盜,111,0123,臺中市,豐原區
住宅竊盜,111,0123,臺南市,南區
住宅竊盜,111,0123,臺南市,南區
住宅竊盜,111,0123,臺北市,萬華區
住宅竊盜,111,0124,新北市,三重區
住宅竊盜,111,0124,雲林縣,麥寮鄉
住宅竊盜,111,0125,新北市,三峽區
住宅竊盜,111,0127,桃園市,中壢區
住宅竊盜,111,0127,雲林縣,斗六市
住宅竊盜,111,0127,臺北市,大同區
住宅竊盜,111,0127,新北市,三重區
住宅竊盜,111,0128,基隆市,中正區
住宅竊盜,111,0128,臺南市,南區
住宅竊盜,111,0128,澎湖縣,湖西鄉
住宅竊盜,111,0129,新北市,三重區
住宅竊盜,111,0130,澎湖縣,馬公市
住宅竊盜,111,0131,臺北市,士林區
住宅竊盜,111,0201,新竹市,東區
住宅竊盜,111,0201,花蓮縣,吉安鄉
住宅竊盜,111,0202,苗栗縣,造橋鄉
住宅竊盜,111,0202,新北市,樹林區
住宅竊盜,111,0202,南投縣,竹山鎮
住宅竊盜,111,0202,臺東縣,臺東市
住宅竊盜,111,0202,澎湖縣,馬公市
住宅竊盜,111,0203,嘉義市,東區
住宅竊盜,111,0203,金門縣,金城鎮
住宅竊盜,111,0204,嘉義市,東區
住宅竊盜,111,0204,臺北市,內湖區
住宅竊盜,111,0204,臺南市,南區
住宅竊盜,111,0204,澎湖縣,西嶼鄉
住宅竊盜,111,0205,澎湖縣,西嶼鄉
住宅竊盜,111,0206,臺南市,六甲區
住宅竊盜,111,0206,新北市,泰山區
住宅竊盜,111,0206,新竹市,東區
住宅竊盜,111,0206,新北市,新莊區
住宅竊盜,111,0206,臺北市,南港區
住宅竊盜,111,0207,新北市,新莊區
住宅竊盜,111,0207,南投縣,草屯鎮
住宅竊盜,111,0207,新北市,中和區
住宅竊盜,111,0207,臺中市,北區
住宅竊盜,111,0207,花蓮縣,壽豐鄉
住宅竊盜,111,0207,雲林縣,崙背鄉
