type,oc_year,oc_data,oc_county,oc_region
住宅竊盜,110,0101,臺北市,文山區
住宅竊盜,110,0101,新北市,中和區
住宅竊盜,110,0101,臺南市,玉井區
住宅竊盜,110,0101,新北市,新莊區
住宅竊盜,110,0101,南投縣,埔里鎮
住宅竊盜,110,0101,臺南市,南化區
住宅竊盜,110,0102,臺北市,內湖區
住宅竊盜,110,0102,新北市,永和區
住宅竊盜,110,0102,臺南市,善化區
住宅竊盜,110,0102,臺東縣,池上鄉
住宅竊盜,110,0102,苗栗縣,頭份市
住宅竊盜,110,0102,花蓮縣,光復鄉
住宅竊盜,110,0103,南投縣,草屯鎮
住宅竊盜,110,0103,新北市,新莊區
住宅竊盜,110,0103,新北市,板橋區
住宅竊盜,110,0103,基隆市,中山區
住宅竊盜,110,0103,臺北市,文山區
住宅竊盜,110,0103,新北市,板橋區
住宅竊盜,110,0103,金門縣,金城鎮
住宅竊盜,110,0103,高雄市,前鎮區
住宅竊盜,110,0104,新北市,三重區
住宅竊盜,110,0104,基隆市,七堵區
住宅竊盜,110,0104,臺北市,士林區
住宅竊盜,110,0104,苗栗縣,苗栗市
住宅竊盜,110,0104,新北市,中和區
住宅竊盜,110,0104,臺南市,學甲區
住宅竊盜,110,0104,臺中市,豐原區
住宅竊盜,110,0104,臺南市,北區
住宅竊盜,110,0104,高雄市,三民區
住宅竊盜,110,0104,臺北市,內湖區
住宅竊盜,110,0104,南投縣,埔里鎮
住宅竊盜,110,0105,高雄市,新興區
住宅竊盜,110,0105,新北市,三重區
住宅竊盜,110,0105,臺南市,新市區
住宅竊盜,110,0105,苗栗縣,銅鑼鄉
住宅竊盜,110,0106,桃園市,龍潭區
住宅竊盜,110,0106,臺中市,龍井區
住宅竊盜,110,0106,雲林縣,西螺鎮
住宅竊盜,110,0106,臺南市,後壁區
住宅竊盜,110,0106,臺中市,潭子區
住宅竊盜,110,0107,高雄市,阿蓮區
住宅竊盜,110,0108,臺南市,善化區
住宅竊盜,110,0108,臺中市,北區
住宅竊盜,110,0108,臺北市,士林區
住宅竊盜,110,0108,新北市,樹林區
住宅竊盜,110,0108,基隆市,安樂區
住宅竊盜,110,0108,新北市,汐止區
住宅竊盜,110,0109,新北市,中和區
住宅竊盜,110,0109,新北市,三重區
住宅竊盜,110,0109,臺北市,大同區
住宅竊盜,110,0109,新北市,中和區
住宅竊盜,110,0110,新竹縣,湖口鄉
住宅竊盜,110,0110,新北市,樹林區
住宅竊盜,110,0110,屏東縣,枋寮鄉
住宅竊盜,110,0110,桃園市,蘆竹區
住宅竊盜,110,0110,新竹縣,湖口鄉
住宅竊盜,110,0110,臺南市,東區
住宅竊盜,110,0111,臺中市,北屯區
住宅竊盜,110,0111,臺北市,文山區
住宅竊盜,110,0112,新北市,中和區
住宅竊盜,110,0112,彰化縣,埔鹽鄉
住宅竊盜,110,0112,新竹縣,橫山鄉
住宅竊盜,110,0112,南投縣,埔里鎮
住宅竊盜,110,0113,臺北市,大同區
住宅竊盜,110,0113,新北市,汐止區
住宅竊盜,110,0113,臺南市,學甲區
住宅竊盜,110,0113,桃園市,龜山區
住宅竊盜,110,0114,臺南市,北區
住宅竊盜,110,0114,新北市,土城區
住宅竊盜,110,0114,新北市,三重區
住宅竊盜,110,0114,臺南市,東區
住宅竊盜,110,0114,桃園市,龍潭區
住宅竊盜,110,0114,高雄市,鳳山區
住宅竊盜,110,0115,臺中市,大甲區
住宅竊盜,110,0115,金門縣,金湖鎮
住宅竊盜,110,0115,南投縣,草屯鎮
住宅竊盜,110,0115,新北市,三重區
住宅竊盜,110,0116,新北市,三重區
住宅竊盜,110,0116,新北市,金山區
住宅竊盜,110,0116,臺中市,潭子區
住宅竊盜,110,0116,臺中市,潭子區
住宅竊盜,110,0116,臺北市,中正區
住宅竊盜,110,0116,苗栗縣,苑裡鎮
住宅竊盜,110,0117,苗栗縣,苗栗市
住宅竊盜,110,0117,新北市,樹林區
住宅竊盜,110,0117,新北市,中和區
住宅竊盜,110,0117,臺南市,新市區
住宅竊盜,110,0118,嘉義縣,民雄鄉
住宅竊盜,110,0118,南投縣,埔里鎮
住宅竊盜,110,0118,臺南市,南區
住宅竊盜,110,0118,南投縣,竹山鎮
住宅竊盜,110,0118,苗栗縣,苗栗市
住宅竊盜,110,0119,新北市,汐止區
住宅竊盜,110,0119,雲林縣,西螺鎮
住宅竊盜,110,0119,臺中市,中區
住宅竊盜,110,0119,臺中市,神岡區
住宅竊盜,110,0119,臺北市,萬華區
住宅竊盜,110,0119,臺中市,沙鹿區
住宅竊盜,110,0119,南投縣,信義鄉
住宅竊盜,110,0120,基隆市,仁愛區
住宅竊盜,110,0120,金門縣,金城鎮
住宅竊盜,110,0120,臺北市,大同區
住宅竊盜,110,0120,嘉義縣,東石鄉
住宅竊盜,110,0120,臺南市,永康區
住宅竊盜,110,0120,臺北市,中正區
住宅竊盜,110,0120,臺南市,佳里區
住宅竊盜,110,0120,嘉義縣,朴子市
住宅竊盜,110,0120,嘉義縣,朴子市
住宅竊盜,110,0120,嘉義市,西區
住宅竊盜,110,0121,苗栗縣,頭份市
住宅竊盜,110,0121,臺中市,沙鹿區
住宅竊盜,110,0121,雲林縣,斗六市
住宅竊盜,110,0121,臺中市,東勢區
住宅竊盜,110,0121,基隆市,七堵區
住宅竊盜,110,0121,新北市,新莊區
住宅竊盜,110,0121,臺南市,山上區
住宅竊盜,110,0121,新北市,三重區
住宅竊盜,110,0122,新北市,中和區
住宅竊盜,110,0123,臺北市,文山區
住宅竊盜,110,0123,雲林縣,斗南鎮
